sku,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment,Churn_Status
JNE3759-KR-S,25,12,6689.9,2,3,3,233,8,Others,Needs Nurturing
JNE3759-KR-XL,19,16,8892.95,2,3,3,233,8,Others,Needs Nurturing
JNE3759-KR-XXL,41,6,2105.1,1,2,2,122,5,At Risk,Churn Likely
JNE3760-KR-L,16,6,2592.0,2,2,2,222,6,Others,Needs Nurturing
JNE3760-KR-M,8,5,2139.43,3,2,2,322,7,Others,Needs Nurturing
JNE3760-KR-S,4,6,2592.0,4,2,2,422,8,Loyal,Retained
JNE3760-KR-XL,11,6,2139.43,3,2,2,322,7,Others,Needs Nurturing
JNE3760-KR-XS,7,2,864.0,3,1,1,311,5,Others,Needs Nurturing
JNE3760-KR-XXL,21,2,864.0,2,1,1,211,4,Others,Needs Nurturing
JNE3760-KR-XXXL,35,3,1308.0,1,1,1,111,3,At Risk,Churn Likely
JNE3761-KR-L,1,27,8086.0,4,4,3,443,11,Champions,Needs Nurturing
JNE3761-KR-M,4,25,7485.0,4,4,3,443,11,Champions,Needs Nurturing
JNE3761-KR-S,12,16,4159.67,3,3,3,333,9,Champions,Needs Nurturing
JNE3761-KR-XL,1,40,11876.14,4,4,4,444,12,Champions,Needs Nurturing
JNE3761-KR-XS,47,6,1776.0,1,2,2,122,5,At Risk,Churn Likely
JNE3761-KR-XXL,4,45,13942.09,4,4,4,444,12,Champions,Needs Nurturing
JNE3761-KR-XXXL,2,1,301.0,4,1,1,411,6,Loyal,Retained
JNE3762-KR-L,8,6,1930.0,3,2,2,322,7,Others,Needs Nurturing
JNE3762-KR-M,51,1,329.0,1,1,1,111,3,At Risk,Churn Likely
JNE3762-KR-S,19,3,976.0,2,1,1,211,4,Others,Needs Nurturing
JNE3762-KR-XL,64,2,658.0,1,1,1,111,3,At Risk,Churn Likely
JNE3762-KR-XS,9,1,318.0,3,1,1,311,5,Others,Needs Nurturing
JNE3762-KR-XXL,78,1,329.0,1,1,1,111,3,At Risk,Churn Likely
JNE3762-KR-XXXL,33,3,987.0,1,1,1,111,3,At Risk,Churn Likely
JNE3763-KR-L,12,12,5260.43,3,3,3,333,9,Champions,Needs Nurturing
JNE3763-KR-M,2,8,3557.0,4,3,2,432,9,Champions,Needs Nurturing
JNE3763-KR-S,19,2,891.0,2,1,1,211,4,Others,Needs Nurturing
JNE3763-KR-XL,10,11,4886.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3763-KR-XS,8,5,2185.0,3,2,2,322,7,Others,Needs Nurturing
JNE3763-KR-XXL,7,6,2143.91,3,2,2,322,7,Others,Needs Nurturing
JNE3763-KR-XXXL,1,10,4405.48,4,3,3,433,10,Champions,Needs Nurturing
JNE3764-KR-L,1,37,15002.0,4,4,4,444,12,Champions,Needs Nurturing
JNE3764-KR-M,2,32,13195.62,4,4,4,444,12,Champions,Needs Nurturing
JNE3764-KR-S,3,23,9082.0,4,4,3,443,11,Champions,Needs Nurturing
JNE3764-KR-XL,1,40,16176.0,4,4,4,444,12,Champions,Needs Nurturing
JNE3764-KR-XS,12,8,2863.0,3,3,2,332,8,Others,Needs Nurturing
JNE3764-KR-XXL,3,35,16034.57,4,4,4,444,12,Champions,Needs Nurturing
JNE3764-KR-XXXL,10,29,12461.81,3,4,4,344,11,Champions,Needs Nurturing
JNE3765-KR-L,2,3,1613.0,4,1,2,412,7,Loyal,Retained
JNE3765-KR-M,2,5,2684.38,4,2,2,422,8,Loyal,Retained
JNE3765-KR-S,51,1,517.0,1,1,1,111,3,At Risk,Churn Likely
JNE3765-KR-XL,7,2,1034.0,3,1,1,311,5,Others,Needs Nurturing
JNE3765-KR-XS,7,5,2629.0,3,2,2,322,7,Others,Needs Nurturing
JNE3765-KR-XXL,10,3,1526.38,3,1,2,312,6,Others,Needs Nurturing
JNE3765-KR-XXXL,2,3,1613.0,4,1,2,412,7,Loyal,Retained
JNE3766-KR-L,22,7,3619.0,2,2,2,222,6,Others,Needs Nurturing
JNE3766-KR-M,2,14,7337.38,4,3,3,433,10,Champions,Needs Nurturing
JNE3766-KR-S,19,4,1533.0,2,2,2,222,6,Others,Needs Nurturing
JNE3766-KR-XL,7,5,2585.0,3,2,2,322,7,Others,Needs Nurturing
JNE3766-KR-XS,21,2,1016.0,2,1,1,211,4,Others,Needs Nurturing
JNE3766-KR-XXL,19,8,3619.0,2,3,2,232,7,Others,Needs Nurturing
JNE3766-KR-XXXL,15,8,4050.76,2,3,3,233,8,Others,Needs Nurturing
JNE3767-KR-L,19,2,974.0,2,1,1,211,4,Others,Needs Nurturing
JNE3767-KR-M,8,3,1455.0,3,1,2,312,6,Others,Needs Nurturing
JNE3767-KR-XL,32,2,974.0,2,1,1,211,4,Others,Needs Nurturing
JNE3767-KR-XS,67,1,487.0,1,1,1,111,3,At Risk,Churn Likely
JNE3767-KR-XXL,13,2,974.0,2,1,1,211,4,Others,Needs Nurturing
JNE3767-KR-XXXL,8,2,974.0,3,1,1,311,5,Others,Needs Nurturing
JNE3768-KR-L,8,4,1948.0,3,2,2,322,7,Others,Needs Nurturing
JNE3768-KR-M,2,10,4415.81,4,3,3,433,10,Champions,Needs Nurturing
JNE3768-KR-S,24,7,3409.0,2,2,2,222,6,Others,Needs Nurturing
JNE3768-KR-XL,18,3,1461.0,2,1,2,212,5,Others,Needs Nurturing
JNE3768-KR-XS,1,6,3017.0,4,2,2,422,8,Loyal,Retained
JNE3768-KR-XXL,15,9,4377.0,2,3,3,233,8,Others,Needs Nurturing
JNE3768-KR-XXXL,7,2,974.0,3,1,1,311,5,Others,Needs Nurturing
JNE3769-KR-L,32,4,1948.0,2,2,2,222,6,Others,Needs Nurturing
JNE3769-KR-M,2,7,3471.0,4,2,2,422,8,Loyal,Retained
JNE3769-KR-S,26,2,968.0,2,1,1,211,4,Others,Needs Nurturing
JNE3769-KR-XL,2,6,2978.0,4,2,2,422,8,Loyal,Retained
JNE3769-KR-XS,11,5,2435.0,3,2,2,322,7,Others,Needs Nurturing
JNE3769-KR-XXL,32,5,2435.0,2,2,2,222,6,Others,Needs Nurturing
JNE3769-KR-XXXL,8,6,2916.0,3,2,2,322,7,Others,Needs Nurturing
JNE3770-KR-L,21,3,1351.0,2,1,1,211,4,Others,Needs Nurturing
JNE3770-KR-M,17,2,974.0,2,1,1,211,4,Others,Needs Nurturing
JNE3770-KR-S,18,4,1893.0,2,2,2,222,6,Others,Needs Nurturing
JNE3770-KR-XL,16,4,1838.0,2,2,2,222,6,Others,Needs Nurturing
JNE3770-KR-XS,42,3,1461.0,1,1,2,112,4,At Risk,Churn Likely
JNE3770-KR-XXL,16,4,1948.0,2,2,2,222,6,Others,Needs Nurturing
JNE3770-KR-XXXL,7,4,1838.0,3,2,2,322,7,Others,Needs Nurturing
